CHROMATOGRAM,
GC27_1.raw,
Data points: 42010,
Time,Intensity
2.481667,4458
2.483333,4458
2.485,4460
2.486667,4463
2.488333,4466
2.49,4468
2.491667,4466
2.493333,4464
2.495,4464
2.496667,4465
2.498333,4465
2.5,4463
2.501667,4462
2.503333,4464
2.505,4462
2.506667,4462
2.508333,4461
2.51,4461
2.511667,4460
2.513333,4459
2.515,4458
2.516667,4457
2.518333,4457
2.52,4457
2.521667,4457
2.523333,4457
2.525,4458
2.526667,4460
2.528333,4460
2.53,4461
2.531667,4461
2.533333,4459
2.535,4458
2.536667,4457
2.538333,4458
2.54,4458
2.541667,4459
2.543333,4459
2.545,4460
2.546667,4462
2.548333,4462
2.55,4461
2.551667,4460
2.553333,4460
2.555,4461
2.556667,4462
2.558333,4462
2.56,4461
2.561667,4462
2.563333,4463
2.565,4462
2.566667,4461
2.568333,4461
2.57,4463
2.571667,4463
2.573333,4464
2.575,4464
2.576667,4466
2.578333,4469
2.58,4468
2.581667,4466
2.583333,4465
2.585,4465
2.586667,4463
2.588333,4462
2.59,4461
2.591667,4463
2.593333,4467
2.595,4468
2.596667,4468
2.598333,4467
2.6,4467
2.601667,4466
2.603333,4462
2.605,4460
2.606667,4459
2.608333,4460
2.61,4460
2.611667,4459
2.613333,4462
2.615,4463
2.616667,4464
2.618333,4465
2.62,4464
2.621667,4465
2.623333,4467
2.625,4465
2.626667,4467
2.628333,4467
2.63,4468
2.631667,4470
2.633333,4471
2.635,4471
2.636667,4472
2.638333,4473
2.64,4471
2.641667,4467
2.643333,4466
2.645,4463
2.646667,4463
2.648333,4463
2.65,4464
2.651667,4464
2.653333,4466
2.655,4467
2.656667,4466
2.658333,4464
2.66,4464
2.661667,4465
2.663333,4466
2.665,4467
2.666667,4468
2.668333,4469
2.67,4469
2.671667,4469
2.673333,4467
2.675,4464
2.676667,4462
2.678333,4461
2.68,4458
2.681667,4459
2.683333,4461
2.685,4463
2.686667,4463
2.688333,4466
2.69,4469
2.691667,4470
2.693333,4471
2.695,4470
2.696667,4469
2.698333,4469
2.7,4468
2.701667,4467
2.703333,4468
2.705,4470
2.706667,4474
2.708333,4474
2.71,4473
2.711667,4471
2.713333,4470
2.715,4469
2.716667,4468
2.718333,4468
2.72,4469
2.721667,4470
2.723333,4472
2.725,4471
2.726667,4470
2.728333,4473
2.73,4475
2.731667,4474
2.733333,4474
2.735,4474
2.736667,4473
2.738333,4473
2.74,4472
2.741667,4471
2.743333,4472
2.745,4473
2.746667,4471
2.748333,4469
2.75,4467
2.751667,4464
2.753333,4462
2.755,4462
2.756667,4463
2.758333,4466
2.76,4468
2.761667,4468
2.763333,4468
2.765,4467
2.766667,4466
2.768333,4463
2.77,4462
2.771667,4461
2.773333,4463
2.775,4467
2.776667,4470
2.778333,4472
2.78,4474
2.781667,4474
2.783333,4473
2.785,4472
2.786667,4469
2.788333,4466
2.79,4464
2.791667,4464
2.793333,4463
2.795,4463
2.796667,4463
2.798333,4465
2.8,4464
2.801667,4465
2.803333,4466
2.805,4467
2.806667,4465
2.808333,4466
2.81,4468
2.811667,4471
2.813333,4472
2.815,4470
2.816667,4468
2.818333,4468
2.82,4466
2.821667,4462
2.823333,4461
2.825,4462
2.826667,4463
2.828333,4466
2.83,4465
2.831667,4465
2.833333,4467
2.835,4470
2.836667,4471
2.838333,4472
2.84,4475
2.841667,4477
2.843333,4476
2.845,4475
2.846667,4472
2.848333,4468
2.85,4469
2.851667,4471
2.853333,4473
2.855,4474
2.856667,4476
2.858333,4477
2.86,4476
2.861667,4474
2.863333,4470
2.865,4469
2.866667,4470
2.868333,4472
2.87,4474
2.871667,4474
2.873333,4472
2.875,4471
2.876667,4469
2.878333,4468
2.88,4466
2.881667,4466
2.883333,4463
2.885,4464
2.886667,4466
2.888333,4466
2.89,4467
2.891667,4468
2.893333,4470
2.895,4473
2.896667,4474
2.898333,4473
2.9,4473
2.901667,4473
2.903333,4473
2.905,4473
2.906667,4473
2.908333,4471
2.91,4470
2.911667,4471
2.913333,4471
2.915,4472
2.916667,4472
2.918333,4471
2.92,4471
2.921667,4472
2.923333,4472
2.925,4469
2.926667,4469
2.928333,4469
2.93,4467
2.931667,4467
2.933333,4467
2.935,4467
2.936667,4468
2.938333,4469
2.94,4470
2.941667,4470
2.943333,4473
2.945,4474
2.946667,4472
2.948333,4472
2.95,4472
2.951667,4471
2.953333,4470
2.955,4467
2.956667,4466
2.958333,4467
2.96,4469
2.961667,4468
2.963333,4467
2.965,4468
2.966667,4467
2.968333,4467
2.97,4468
2.971667,4470
2.973333,4472
2.975,4472
2.976667,4473
2.978333,4473
2.98,4472
2.981667,4472
2.983333,4470
2.985,4468
2.986667,4468
2.988333,4471
2.99,4472
2.991667,4474
